name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.55s/it]
dataset has 76768927 tokens
Training...
[204 | 132.44] loss=3.48 avg=3.28
[205 | 133.07] loss=3.28 avg=3.28
[206 | 133.69] loss=2.95 avg=3.28
[207 | 134.32] loss=3.24 avg=3.28
[208 | 134.95] loss=3.26 avg=3.28
[209 | 135.57] loss=3.34 avg=3.28
[210 | 136.20] loss=3.32 avg=3.28
[211 | 136.83] loss=3.14 avg=3.28
[212 | 137.45] loss=2.96 avg=3.27
[213 | 138.08] loss=3.36 avg=3.28
[214 | 138.70] loss=2.95 avg=3.27
[215 | 139.33] loss=2.65 avg=3.26
[216 | 139.95] loss=3.25 avg=3.26
[217 | 140.58] loss=2.81 avg=3.26
[218 | 141.21] loss=1.86 avg=3.24
[219 | 141.83] loss=3.31 avg=3.24
[220 | 142.46] loss=0.78 avg=3.22
[221 | 143.08] loss=3.08 avg=3.21
[222 | 143.71] loss=3.24 avg=3.22
[223 | 144.34] loss=3.00 avg=3.21
[224 | 144.96] loss=3.23 avg=3.21
[225 | 145.59] loss=2.87 avg=3.21
[226 | 146.21] loss=3.05 avg=3.21
[227 | 146.84] loss=3.44 avg=3.21
[228 | 147.46] loss=3.39 avg=3.21
[229 | 148.09] loss=3.44 avg=3.21
[230 | 148.72] loss=3.00 avg=3.21
[231 | 149.34] loss=0.79 avg=3.19
[232 | 149.97] loss=3.48 avg=3.19
[233 | 150.59] loss=3.19 avg=3.19
[234 | 151.22] loss=3.39 avg=3.19
[235 | 151.85] loss=3.14 avg=3.19
[236 | 152.47] loss=3.45 avg=3.19
[237 | 153.10] loss=3.21 avg=3.19
[238 | 153.72] loss=3.63 avg=3.20
[239 | 154.35] loss=3.24 avg=3.20
[240 | 154.98] loss=3.01 avg=3.20
[241 | 155.60] loss=2.19 avg=3.19
[242 | 156.23] loss=0.72 avg=3.16
[243 | 156.86] loss=1.24 avg=3.14
[244 | 157.48] loss=3.33 avg=3.14
[245 | 158.11] loss=3.53 avg=3.14
[246 | 158.73] loss=1.07 avg=3.12
[247 | 159.36] loss=3.25 avg=3.12
[248 | 159.99] loss=2.74 avg=3.12
[249 | 160.61] loss=3.41 avg=3.12
[250 | 161.24] loss=3.26 avg=3.12
[251 | 161.87] loss=3.32 avg=3.12
[252 | 162.49] loss=2.53 avg=3.12
[253 | 163.12] loss=2.98 avg=3.12
[254 | 163.74] loss=3.49 avg=3.12
[255 | 164.37] loss=3.36 avg=3.12
[256 | 165.00] loss=3.24 avg=3.12
[257 | 165.62] loss=3.13 avg=3.12
[258 | 166.25] loss=3.32 avg=3.13
[259 | 166.88] loss=3.26 avg=3.13
[260 | 167.50] loss=3.34 avg=3.13
[261 | 168.13] loss=3.30 avg=3.13
[262 | 168.76] loss=3.15 avg=3.13
[263 | 169.38] loss=3.32 avg=3.13
[264 | 170.01] loss=3.36 avg=3.14
[265 | 170.63] loss=3.23 avg=3.14
[266 | 171.26] loss=3.17 avg=3.14
[267 | 171.89] loss=3.49 avg=3.14
[268 | 172.51] loss=2.87 avg=3.14
[269 | 173.14] loss=2.75 avg=3.13
[270 | 173.77] loss=3.01 avg=3.13
[271 | 174.39] loss=3.32 avg=3.14
[272 | 175.02] loss=3.13 avg=3.14
[273 | 175.65] loss=3.12 avg=3.14
[274 | 176.27] loss=3.50 avg=3.14
[275 | 176.90] loss=3.39 avg=3.14
[276 | 177.53] loss=3.83 avg=3.15
[277 | 178.16] loss=3.34 avg=3.15
[278 | 178.78] loss=3.32 avg=3.15
[279 | 179.41] loss=3.38 avg=3.16
[280 | 180.03] loss=3.51 avg=3.16
[281 | 180.66] loss=3.33 avg=3.16
[282 | 181.29] loss=3.08 avg=3.16
[283 | 181.91] loss=3.27 avg=3.16
[284 | 182.54] loss=3.91 avg=3.17
[285 | 183.17] loss=3.07 avg=3.17
[286 | 183.79] loss=3.03 avg=3.17
[287 | 184.42] loss=3.24 avg=3.17
[288 | 185.05] loss=3.35 avg=3.17
[289 | 185.67] loss=2.08 avg=3.16
[290 | 186.30] loss=3.61 avg=3.16
[291 | 186.93] loss=3.37 avg=3.16
[292 | 187.55] loss=3.35 avg=3.17
[293 | 188.18] loss=3.32 avg=3.17
[294 | 188.80] loss=3.20 avg=3.17
[295 | 189.43] loss=3.37 avg=3.17
[296 | 190.06] loss=3.34 avg=3.17
[297 | 190.69] loss=3.18 avg=3.17
[298 | 191.31] loss=2.96 avg=3.17
[299 | 191.94] loss=1.34 avg=3.15
[300 | 192.57] loss=3.30 avg=3.15
[301 | 193.19] loss=3.07 avg=3.15
[302 | 193.82] loss=3.37 avg=3.15
[303 | 194.44] loss=3.29 avg=3.16
[304 | 195.07] loss=3.05 avg=3.15
[305 | 195.70] loss=3.24 avg=3.15
[306 | 196.32] loss=2.99 avg=3.15
[307 | 196.95] loss=2.27 avg=3.14
[308 | 197.58] loss=3.07 avg=3.14
[309 | 198.21] loss=3.03 avg=3.14
[310 | 198.83] loss=3.49 avg=3.15
[311 | 199.46] loss=2.71 avg=3.14
[312 | 200.09] loss=3.14 avg=3.14
[313 | 200.72] loss=3.34 avg=3.14
[314 | 201.34] loss=3.21 avg=3.14
[315 | 201.97] loss=3.60 avg=3.15
[316 | 202.60] loss=3.18 avg=3.15
[317 | 203.22] loss=3.07 avg=3.15
[318 | 203.85] loss=3.42 avg=3.15
[319 | 204.48] loss=3.21 avg=3.15
[320 | 205.11] loss=3.16 avg=3.15
[321 | 205.73] loss=2.79 avg=3.15
[322 | 206.36] loss=3.28 avg=3.15
[323 | 206.99] loss=3.39 avg=3.15
[324 | 207.62] loss=1.26 avg=3.13
[325 | 208.24] loss=3.07 avg=3.13
[326 | 208.87] loss=2.83 avg=3.13
[327 | 209.49] loss=3.61 avg=3.13
[328 | 210.12] loss=3.13 avg=3.13
[329 | 210.75] loss=2.99 avg=3.13
[330 | 211.37] loss=2.65 avg=3.13
[331 | 212.00] loss=3.20 avg=3.13
[332 | 212.63] loss=2.95 avg=3.13
[333 | 213.26] loss=1.79 avg=3.11
[334 | 213.88] loss=3.30 avg=3.11
[335 | 214.51] loss=3.13 avg=3.11
[336 | 215.14] loss=2.90 avg=3.11
[337 | 215.76] loss=3.49 avg=3.12
[338 | 216.39] loss=3.18 avg=3.12
[339 | 217.02] loss=3.02 avg=3.12
[340 | 217.64] loss=3.33 avg=3.12
[341 | 218.27] loss=3.34 avg=3.12
[342 | 218.90] loss=3.57 avg=3.12
[343 | 219.52] loss=2.44 avg=3.12
[344 | 220.15] loss=3.20 avg=3.12
[345 | 220.78] loss=2.76 avg=3.11
[346 | 221.40] loss=2.51 avg=3.11
[347 | 222.03] loss=3.41 avg=3.11
[348 | 222.66] loss=3.25 avg=3.11
[349 | 223.28] loss=3.17 avg=3.11
[350 | 223.91] loss=3.30 avg=3.12
[351 | 224.54] loss=3.18 avg=3.12
[352 | 225.16] loss=3.34 avg=3.12
[353 | 225.79] loss=3.25 avg=3.12
[354 | 226.42] loss=2.97 avg=3.12
[355 | 227.04] loss=3.13 avg=3.12
[356 | 227.67] loss=3.19 avg=3.12
[357 | 228.30] loss=1.32 avg=3.10
[358 | 228.92] loss=2.97 avg=3.10
[359 | 229.55] loss=3.06 avg=3.10
[360 | 230.18] loss=3.12 avg=3.10
[361 | 230.81] loss=3.13 avg=3.10
[362 | 231.43] loss=1.45 avg=3.08
[363 | 232.06] loss=2.27 avg=3.07
[364 | 232.69] loss=3.16 avg=3.08
[365 | 233.31] loss=3.38 avg=3.08
[366 | 233.94] loss=3.08 avg=3.08
[367 | 234.57] loss=3.28 avg=3.08
[368 | 235.20] loss=3.63 avg=3.09
[369 | 235.82] loss=3.47 avg=3.09
[370 | 236.45] loss=2.78 avg=3.09
[371 | 237.08] loss=3.26 avg=3.09
[372 | 237.70] loss=3.59 avg=3.09
[373 | 238.33] loss=3.04 avg=3.09
[374 | 238.96] loss=3.26 avg=3.09
[375 | 239.59] loss=3.19 avg=3.10
[376 | 240.21] loss=3.62 avg=3.10
[377 | 240.84] loss=2.77 avg=3.10
[378 | 241.46] loss=2.79 avg=3.09
[379 | 242.09] loss=2.68 avg=3.09
[380 | 242.72] loss=3.63 avg=3.10
[381 | 243.34] loss=2.91 avg=3.09
[382 | 243.97] loss=3.25 avg=3.10
[383 | 244.60] loss=2.99 avg=3.09
[384 | 245.23] loss=3.23 avg=3.10
[385 | 245.85] loss=1.48 avg=3.08
[386 | 246.48] loss=3.07 avg=3.08
[387 | 247.11] loss=3.05 avg=3.08
[388 | 247.74] loss=2.97 avg=3.08
[389 | 248.36] loss=3.22 avg=3.08
[390 | 248.99] loss=2.86 avg=3.08
[391 | 249.62] loss=3.24 avg=3.08
[392 | 250.24] loss=3.06 avg=3.08
[393 | 250.87] loss=2.97 avg=3.08
[394 | 251.50] loss=3.20 avg=3.08
[395 | 252.12] loss=3.04 avg=3.08
[396 | 252.75] loss=2.86 avg=3.08
[397 | 253.38] loss=2.95 avg=3.07
[398 | 254.01] loss=3.04 avg=3.07
[399 | 254.64] loss=3.04 avg=3.07
[400 | 255.26] loss=3.31 avg=3.08
[401 | 255.89] loss=2.89 avg=3.07
[402 | 256.52] loss=2.60 avg=3.07
[403 | 257.14] loss=3.25 avg=3.07
[404 | 257.77] loss=2.46 avg=3.07
[405 | 258.40] loss=1.80 avg=3.05
[406 | 259.02] loss=2.74 avg=3.05
[407 | 259.65] loss=0.98 avg=3.03
[408 | 260.28] loss=0.53 avg=3.00
[409 | 260.91] loss=3.01 avg=3.00
[410 | 261.53] loss=3.58 avg=3.01
[411 | 262.16] loss=3.14 avg=3.01
[412 | 262.79] loss=3.21 avg=3.01
[413 | 263.42] loss=3.20 avg=3.01
[414 | 264.04] loss=0.90 avg=2.99
[415 | 264.67] loss=2.92 avg=2.99
[416 | 265.30] loss=3.27 avg=2.99
[417 | 265.93] loss=3.32 avg=3.00
[418 | 266.55] loss=3.01 avg=3.00
[419 | 267.18] loss=3.23 avg=3.00
[420 | 267.81] loss=3.03 avg=3.00
[421 | 268.44] loss=2.94 avg=3.00
[422 | 269.06] loss=3.12 avg=3.00
[423 | 269.69] loss=3.44 avg=3.01
[424 | 270.32] loss=3.11 avg=3.01
[425 | 270.94] loss=3.19 avg=3.01
